path,iou,tp/fp
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 1,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 2,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 3,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 4,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 5,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 6,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 7,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 8,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 9,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 10,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 11,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 12,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 13,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 14,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 15,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 16,0.0,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 17,0.24633123689727462,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 18,0.2627459749552773,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 19,0.25042625745950553,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 20,0.22888283378746593,FP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 21,0.7030373831775701,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 22,0.6793159990630124,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 23,0.5947930574098799,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 24,0.6302064896755162,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 25,0.5932337632948631,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 26,0.8142347343378271,TP
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 27,0.7704565451168247,TP
